code,trading_name,name_vi,ownership,sector,status,fy2024_vnd_bn,fy2025_vnd_bn,change_vnd_bn,in_balanced_panel
NLG,Nam Long,Công ty cổ phần Đầu tư Nam Long,Private,Real estate & construction,common,1153.0,911.0,-242.0,TRUE
PRUDENTIAL,Prudential,Công ty TNHH Bảo hiểm Nhân thọ Prudential Việt Nam,FDI,Insurance,common,773.0,903.0,130.0,TRUE
KDH,Khang Điền,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Private,Real estate & construction,common,1701.0,896.0,-805.0,TRUE
VGT,Vinatex,Tập đoàn Dệt may Việt Nam,SOE,Textiles,common,850.0,895.0,45.0,TRUE
AIG,AIG Group,Công ty Cổ phần Nguyên liệu Á Châu AIG,Private,"Food, beverage & brewing",common,1138.0,895.0,-243.0,TRUE
SNZ,Sonadezi,Tổng Công ty Cổ phần phát triển khu Công nghiệp,SOE,Real estate & construction,common,799.0,876.0,77.0,TRUE
NKG,Nam Kim,Công ty Cổ phần Thép Nam Kim,Private,Steel & building materials,common,1092.0,876.0,-216.0,TRUE
DGC,Đức Giang Chem,CTCP Tập đoàn Hoá chất Đức Giang,Private,"Chemicals, plastics & rubber",common,761.0,874.0,113.0,TRUE
HCM,HSC,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Private,Securities,common,721.0,872.0,151.0,TRUE
VNRAILWAYS,Vietnam Railways,Công ty TNHH Một thành viên - Tập đoàn Đường sắt Quốc gia Việt Nam,SOE,Logistics & transport,common,810.0,852.0,42.0,TRUE
KBC,Kinh Bac City,Tổng Công ty Phát triển đô thị Kinh Bắc-CTCP,Private,Real estate & construction,common,525.0,804.0,279.0,TRUE
VNPOST,VNPost,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,SOE,Logistics & transport,common,718.0,789.0,71.0,TRUE
CMG,CMC Group,Công ty Cổ phần Tập đoàn Công nghệ CMC,Private,Technology & telecom,common,479.0,784.0,305.0,TRUE
BCM,Becamex IDC,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,SOE,Real estate & construction,common,1692.0,773.0,-919.0,TRUE
VCI,Vietcap Securities,Công ty cổ phần Chứng khoán Vietcap,Private,Securities,common,570.0,764.0,194.0,TRUE
FRT,FPT Retail,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Private,Retail & trade,entered,,763.0,,FALSE
ABB,ABBank,Ngân hàng Thương mại cổ phần An Bình,Private,Banking,entered,,763.0,,FALSE
